itemindex,model,context_id,context_string,response,relevance,reference,metouts
75,retrieval,,room service . what can i do for you ?,I would like to have my room cleaned. Would you please send a maid here right now?,1,I do not have enough towels.,"{'Bleu_1': 0.11764705881660904, 'Bleu_2': 2.7116307225687105e-09, 'Bleu_3': 7.884786607697402e-12, 'Bleu_4': 4.3257403657294177e-13, 'METEOR': 0.0891880852081139, 'ROUGE_L': 0.19032761310452417, 'CIDEr': 0.0, 'SkipThoughtCS': 0.5788722, 'EmbeddingAverageCosineSimilarity': 0.908965, 'EmbeddingAverageCosineSimilairty': 0.908965, 'VectorExtremaCosineSimilarity': 0.570503, 'GreedyMatchingScore': 0.721366}"
76,retrieval,,this t . v is only $ 2500 . <eot> you can't be serious . <eot> that's how much this t . v costs . <eot> that's too expensive for me . <eot> this television is of very high quality .,"Well, trust me. The quality is fantastic.",1,"Sorry, ca n't do it.","{'Bleu_1': 1.428571428367347e-16, 'Bleu_2': 1.5430334993821163e-16, 'Bleu_3': 1.6823908654542381e-16, 'Bleu_4': 1.857505799560655e-16, 'METEOR': 0.04863221884498481, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.6906653, 'EmbeddingAverageCosineSimilarity': 0.840645, 'EmbeddingAverageCosineSimilairty': 0.840645, 'VectorExtremaCosineSimilarity': 0.542536, 'GreedyMatchingScore': 0.713592}"
77,retrieval,,"that's basically it . <eot> how do you stick to only those foods ? <eot> actually , fruits and veggies are really good for you . <eot> yeah , i know , but what about the chicken ? <eot> i mainly eat baked chicken , because there's not a lot of fat .",What about the chicken?,0.333333333,Do you have any good recipes?,"{'Bleu_1': 1.516326648523421e-16, 'Bleu_2': 1.750903197335846e-16, 'Bleu_3': 2.1027243544704205e-16, 'Bleu_4': 2.740311594723361e-16, 'METEOR': 0.028985507246376815, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.7169775, 'EmbeddingAverageCosineSimilarity': 0.831556, 'EmbeddingAverageCosineSimilairty': 0.831556, 'VectorExtremaCosineSimilarity': 0.548296, 'GreedyMatchingScore': 0.672779}"
78,retrieval,,"you guys are charging me $ 10 for a movie that i never ordered or saw . <eot> let's see , sir . according to your file , you watched'titanic'monday evening .",You are so old - fashioned. I have already watched it last week in cinema.,0.166666667,That is false.,"{'Bleu_1': 6.666666666222223e-17, 'Bleu_2': 6.900655592947069e-17, 'Bleu_3': 7.155046341999933e-17, 'Bleu_4': 7.432998183959223e-17, 'METEOR': 0.0836222698129009, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.69113445, 'EmbeddingAverageCosineSimilarity': 0.766332, 'EmbeddingAverageCosineSimilairty': 0.766332, 'VectorExtremaCosineSimilarity': 0.246594, 'GreedyMatchingScore': 0.635167}"
79,retrieval,,"i'm sorry to hear that . i'm afraid it is often the case during the peak hours . shall i ask them to call you when the line is free ? <eot> ok . please do so if it is not troublesome . <eot> no trouble at all . may i know your name and room number ? <eot> i'm du juan , in room 312 . <eot> i see . wait in the room , please .",Thank you. Would you hang up and wait?,0.666666667,How long will it take for someone to call me back?,"{'Bleu_1': 8.591115982739376e-17, 'Bleu_2': 9.184289307760413e-17, 'Bleu_3': 9.886133635030957e-17, 'Bleu_4': 1.0735252128116342e-16, 'METEOR': 0.028466480463822434, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.62425923, 'EmbeddingAverageCosineSimilarity': 0.927169, 'EmbeddingAverageCosineSimilairty': 0.927169, 'VectorExtremaCosineSimilarity': 0.521131, 'GreedyMatchingScore': 0.701524}"
80,retrieval,,how did you find your apartment ?,"I had to move it, so that i can get my bike through.",0,I put an ad in the paper.,"{'Bleu_1': 0.07692307691715985, 'Bleu_2': 2.531848417506296e-09, 'Bleu_3': 8.35271324738965e-12, 'Bleu_4': 4.91327054771308e-13, 'METEOR': 0.051118210862619806, 'ROUGE_L': 0.10571923743500866, 'CIDEr': 0.0, 'SkipThoughtCS': 0.697325, 'EmbeddingAverageCosineSimilarity': 0.857264, 'EmbeddingAverageCosineSimilairty': 0.857264, 'VectorExtremaCosineSimilarity': 0.443444, 'GreedyMatchingScore': 0.664338}"
81,retrieval,,"joe , how are you doing ? <eot> i am great ! how about you , mary ? how are you ? <eot> i am doing great ! thank you for asking , joe . <eot> i was wondering if you want to go see a movie with me tonight ?",I'd be up for that!,1,I ca n't. I already have plans - what about tomorrow though?,"{'Bleu_1': 4.931939276859357e-17, 'Bleu_2': 5.5140757418414865e-17, 'Bleu_3': 6.298985979364349e-17, 'Bleu_4': 7.450619995279912e-17, 'METEOR': 0.015717092337917484, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.651131, 'EmbeddingAverageCosineSimilarity': 0.924993, 'EmbeddingAverageCosineSimilairty': 0.924993, 'VectorExtremaCosineSimilarity': 0.516045, 'GreedyMatchingScore': 0.70236}"
82,retrieval,,have you ever gotten a parking ticket ? <eot> i've never gotten one . have you ? <eot> i got a ticket yesterday . <eot> really ? what did you get one for ?,I got the ticket in front of my apartment.,0.5,Parking in a handicap space.,"{'Bleu_1': 0.11111111109876555, 'Bleu_2': 3.726779962059685e-09, 'Bleu_3': 1.2565790683898575e-11, 'Bleu_4': 7.583235672378979e-13, 'METEOR': 0.0606060606060606, 'ROUGE_L': 0.1506172839506173, 'CIDEr': 0.0, 'SkipThoughtCS': 0.64882773, 'EmbeddingAverageCosineSimilarity': 0.73054, 'EmbeddingAverageCosineSimilairty': 0.73054, 'VectorExtremaCosineSimilarity': 0.311301, 'GreedyMatchingScore': 0.580079}"
83,retrieval,,it's especially cold when the wind is blowing . <eot> why don't you wear a scarf ? <eot> what can wearing one do for me ? <eot> you're cold because the wind is blowing into your open collar . it's not because your jacket isn't thick enough .,Then does it go well with my sweater?,0.833333333,I do n't like scarfs,"{'Bleu_1': 1.2499999998437502e-16, 'Bleu_2': 1.3363062093831524e-16, 'Bleu_3': 1.43842395645363e-16, 'Bleu_4': 1.5619699682123511e-16, 'METEOR': 0.0, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.17597635, 'EmbeddingAverageCosineSimilarity': 0.843744, 'EmbeddingAverageCosineSimilairty': 0.843744, 'VectorExtremaCosineSimilarity': 0.496465, 'GreedyMatchingScore': 0.658362}"
84,retrieval,,hey stacy . what's going on ? <eot> i'm pretty tired these days .,"But you're busy, are n't you?",0.833333333,Why is that?,"{'Bleu_1': 1.666666666388889e-16, 'Bleu_2': 1.8257418580158344e-16, 'Bleu_3': 2.027400664774394e-16, 'Bleu_4': 2.295748846116193e-16, 'METEOR': 0.05333333333333332, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.6849557, 'EmbeddingAverageCosineSimilarity': 0.883473, 'EmbeddingAverageCosineSimilairty': 0.883473, 'VectorExtremaCosineSimilarity': 0.562016, 'GreedyMatchingScore': 0.757051}"
85,retrieval,,"i got poison oak while hiking , and i need something to help me with the itching . <eot> i can suggest a product called techne that comes in a lotion or cream . <eot> which do you prefer ? <eot> hikers tell me that the cream is best because it stays on longer . <eot> is there anything else i can do to help with the itching ?",Is there anything i can take that will help with the itching?,0.666666667,Wash the affected area and try to keep it clean.,"{'Bleu_1': 0.08333333332638898, 'Bleu_2': 2.7524094125761097e-09, 'Bleu_3': 9.116091792381157e-12, 'Bleu_4': 5.386366368312954e-13, 'METEOR': 0.0619910545637786, 'ROUGE_L': 0.09242424242424242, 'CIDEr': 0.0, 'SkipThoughtCS': 0.6024372, 'EmbeddingAverageCosineSimilarity': 0.866159, 'EmbeddingAverageCosineSimilairty': 0.866159, 'VectorExtremaCosineSimilarity': 0.444547, 'GreedyMatchingScore': 0.636467}"
86,retrieval,,"i have just received your note which informs me that you have offered the accountant position to another candidate . may i ask why i was defeated ? <eot> we have thought of you carefully with discretion , but the other candidate has more experiences .",We considered you very carefully but the other candidate has more experience.,1,I thank you for the opportunity.,"{'Bleu_1': 0.16666666665277785, 'Bleu_2': 3.892494720468497e-09, 'Bleu_3': 1.14855559419949e-11, 'Bleu_4': 6.40550520920913e-13, 'METEOR': 0.14903195079542647, 'ROUGE_L': 0.2364341085271318, 'CIDEr': 0.0, 'SkipThoughtCS': 0.7748772, 'EmbeddingAverageCosineSimilarity': 0.869892, 'EmbeddingAverageCosineSimilairty': 0.869892, 'VectorExtremaCosineSimilarity': 0.559166, 'GreedyMatchingScore': 0.724338}"
87,retrieval,,"good morning . my name is mr . brown . i'm from australia . here is my card . <eot> thank you . i'm pleased to meet you , mr . brown . my name is kathy pewless , the representative of green textile import and export corporation .","Nice to meet you, ms. Thou. We've learned that you specialize in the export of electronic products.",0.333333333,Nice to meet you kathy,"{'Bleu_1': 0.23529411763321803, 'Bleu_2': 0.17149858513210547, 'Bleu_3': 0.12516318555603614, 'Bleu_4': 1.934529902157156e-05, 'METEOR': 0.2841876378094491, 'ROUGE_L': 0.4033057851239669, 'CIDEr': 0.0, 'SkipThoughtCS': 0.24690253, 'EmbeddingAverageCosineSimilarity': 0.804491, 'EmbeddingAverageCosineSimilairty': 0.804491, 'VectorExtremaCosineSimilarity': 0.426597, 'GreedyMatchingScore': 0.717281}"
88,retrieval,,how do you celebrate national day in your country ?,We celebrate it to commemorate a great patriotic poet of china -- qu yuan.,0.75,I like to have a cook - out with friends.,"{'Bleu_1': 0.14285714284693884, 'Bleu_2': 3.31496772041309e-09, 'Bleu_3': 9.710891919084828e-12, 'Bleu_4': 5.371507285148366e-13, 'METEOR': 0.10144486692015209, 'ROUGE_L': 0.17183098591549298, 'CIDEr': 0.0, 'SkipThoughtCS': 0.73037404, 'EmbeddingAverageCosineSimilarity': 0.777569, 'EmbeddingAverageCosineSimilairty': 0.777569, 'VectorExtremaCosineSimilarity': 0.220756, 'GreedyMatchingScore': 0.600314}"
89,retrieval,,what date will our field trip be on ? <eot> the science field trip is next monday at 8 o'clock in the morning . do you want to make note of that on your calendar ?,"Yes, let me put it on the calendar.",0.75,Yes i will want to mark it.,"{'Bleu_1': 1.2499999998437502e-16, 'Bleu_2': 1.3363062093831524e-16, 'Bleu_3': 1.43842395645363e-16, 'Bleu_4': 1.5619699682123511e-16, 'METEOR': 0.1342281879194631, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.73803926, 'EmbeddingAverageCosineSimilarity': 0.918209, 'EmbeddingAverageCosineSimilairty': 0.918209, 'VectorExtremaCosineSimilarity': 0.451383, 'GreedyMatchingScore': 0.747358}"
90,retrieval,,"can't you just tell me now ? <eot> i don't know anything for certain . we always do a double check if there is a question . <eot> i want to see you right away . <eot> you can come in this afternoon . if you are feeling too stressed , feel free to bring a friend along . <eot> i know for sure that something is wrong !","If there is any question about test results, we always do a recheck.",0.875,We wo n't know that until we run the tests and get the results.,"{'Bleu_1': 0.07122777526922014, 'Bleu_2': 2.3443930914526333e-09, 'Bleu_3': 7.734287367547939e-12, 'Bleu_4': 4.549497295671966e-13, 'METEOR': 0.11605168539814985, 'ROUGE_L': 0.0735826296743064, 'CIDEr': 0.0, 'SkipThoughtCS': 0.79222965, 'EmbeddingAverageCosineSimilarity': 0.937272, 'EmbeddingAverageCosineSimilairty': 0.937272, 'VectorExtremaCosineSimilarity': 0.542404, 'GreedyMatchingScore': 0.751252}"
91,retrieval,,what do you need today ? <eot> i need to take a few classes . <eot> what kind of classes would you like to take ?,Which days are these classes on?,0.5,I would like to take a cooking class.,"{'Bleu_1': 1.194218850558243e-16, 'Bleu_2': 1.3082012060754779e-16, 'Bleu_3': 1.4526960551468526e-16, 'Bleu_4': 1.6449759291817379e-16, 'METEOR': 0.0, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.5977497, 'EmbeddingAverageCosineSimilarity': 0.854007, 'EmbeddingAverageCosineSimilairty': 0.854007, 'VectorExtremaCosineSimilarity': 0.490191, 'GreedyMatchingScore': 0.610477}"
92,retrieval,,"let me have a soda . <eot> what kind of soda would you like ? <eot> may i have a sprite , please ? <eot> sure , no problem . <eot> i would also like a bag of chips .",Would you like anything else?,1,Sounds good- i'll have them right up.,"{'Bleu_1': 1.340640091535023e-16, 'Bleu_2': 1.4988811889794536e-16, 'Bleu_3': 1.7122419125424406e-16, 'Bleu_4': 2.0252884943922996e-16, 'METEOR': 0.0, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.5598475, 'EmbeddingAverageCosineSimilarity': 0.904, 'EmbeddingAverageCosineSimilairty': 0.904, 'VectorExtremaCosineSimilarity': 0.705224, 'GreedyMatchingScore': 0.634969}"
93,eval_input_outputs_human.csv,,"hi joe , how are you doing today ? <eot> things are going good today . how have you been doing , mary ?","Bad, my dog's been really sick.",1,,"{'Bleu_1': 1.666666666388889e-16, 'Bleu_2': 1.8257418580158344e-16, 'Bleu_3': 2.027400664774394e-16, 'Bleu_4': 2.295748846116193e-16, 'METEOR': 0.0, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.066962525, 'EmbeddingAverageCosineSimilarity': 0.001573, 'EmbeddingAverageCosineSimilairty': 0.001573, 'VectorExtremaCosineSimilarity': 0.001275, 'GreedyMatchingScore': 0.058692}"
94,eval_input_outputs_human.csv,,so i'm on the fifth floor ? how come this hotel has no fourth floor .,"Oh wow, i did n't know about that.",0.75,,"{'Bleu_1': 1.2499999998437502e-16, 'Bleu_2': 1.3363062093831524e-16, 'Bleu_3': 1.43842395645363e-16, 'Bleu_4': 1.5619699682123511e-16, 'METEOR': 0.0, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.041884594, 'EmbeddingAverageCosineSimilarity': 0.044261, 'EmbeddingAverageCosineSimilairty': 0.044261, 'VectorExtremaCosineSimilarity': 0.007004, 'GreedyMatchingScore': 0.078748}"
95,eval_input_outputs_human.csv,,"so how did i do on my driving test ? <eot> do you want the truth ? <eot> of course , i do .",You passed! Congratulations!,1,,"{'Bleu_1': 3.3333333322222225e-16, 'Bleu_2': 4.082482902937596e-16, 'Bleu_3': 5.503212078127982e-16, 'Bleu_4': 1.1362193659467322e-13, 'METEOR': 0.0, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.035432648, 'EmbeddingAverageCosineSimilarity': 0.034722, 'EmbeddingAverageCosineSimilairty': 0.034722, 'VectorExtremaCosineSimilarity': 0.004982, 'GreedyMatchingScore': 0.047944}"
96,eval_input_outputs_human.csv,,"hello , jack . i'm john . <eot> i'm glad to see you ! <eot> sit down , please . maybe you have read the contract , but i want to give you the details again before you sign the contract . you must have a three-month internship .",Okay please tell me more about everything,0.875,,"{'Bleu_1': 1.428571428367347e-16, 'Bleu_2': 1.5430334993821163e-16, 'Bleu_3': 1.6823908654542381e-16, 'Bleu_4': 1.857505799560655e-16, 'METEOR': 0.0, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.05468662, 'EmbeddingAverageCosineSimilarity': -0.021197, 'EmbeddingAverageCosineSimilairty': -0.021197, 'VectorExtremaCosineSimilarity': -0.01966, 'GreedyMatchingScore': 0.007529}"
97,eval_input_outputs_human.csv,,"mr . james . i know that office hour is up now , but could you work during the weekend and finish the translations ? <eot> well , unfortunately i have got something to do this weekend . but let me see ... <eot> oh , i'm sorry . however , if you could help me out , i'll double the pay for the hours worked . <eot> that's very kind of you . how soon do you really need them ? <eot> i'll need them for the conference on monday afternoon . do you think it can be done by then ?",Of course i can get that done,1,,"{'Bleu_1': 1.428571428367347e-16, 'Bleu_2': 1.5430334993821163e-16, 'Bleu_3': 1.6823908654542381e-16, 'Bleu_4': 1.857505799560655e-16, 'METEOR': 0.0, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.023547143, 'EmbeddingAverageCosineSimilarity': -0.005132, 'EmbeddingAverageCosineSimilairty': -0.005132, 'VectorExtremaCosineSimilarity': 0.020094, 'GreedyMatchingScore': 0.014113}"
98,eval_input_outputs_human.csv,,"do you remember what the ratings of movies stand for ? <eot> yes , g stands for general audiences , pg means parental guidance suggested , r is restricted to audiences under 18 and x means explicit content .","Thank you very much, i have a teenage son.",0.75,,"{'Bleu_1': 1.1111111109876545e-16, 'Bleu_2': 1.1785113018384495e-16, 'Bleu_3': 1.2565790683898578e-16, 'Bleu_4': 1.34851118576642e-16, 'METEOR': 0.0, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.052959353, 'EmbeddingAverageCosineSimilarity': 0.038477, 'EmbeddingAverageCosineSimilairty': 0.038477, 'VectorExtremaCosineSimilarity': 0.002118, 'GreedyMatchingScore': 0.07226}"
99,eval_input_outputs_human.csv,,good afternoon . can i be of service ? <eot> i don't know . can i purchase treasury certificates here at this counter ?,"Yes you may, i'll take care of it today.",1,,"{'Bleu_1': 1.1111111109876545e-16, 'Bleu_2': 1.1785113018384495e-16, 'Bleu_3': 1.2565790683898578e-16, 'Bleu_4': 1.34851118576642e-16, 'METEOR': 0.0, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.041527152, 'EmbeddingAverageCosineSimilarity': 0.013863, 'EmbeddingAverageCosineSimilairty': 0.013863, 'VectorExtremaCosineSimilarity': -0.000665, 'GreedyMatchingScore': 0.062764}"
100,eval_input_outputs_human.csv,,"want to send out for some chinese ? <eot> some what ? <eot> some chinese food . i'm hungry , and there's a take-out restaurant near here . we can have them deliver and then watch the news on tv while we eat . <eot> no , i'd rather go out . the chinese food here is rather different from what i had at home . maybe we can try some other food today ... what about that all-you-can-eat place we passed the other day , the one over in the shopping center ?",No. I prefer take out.,1,,"{'Bleu_1': 1.9999999996000001e-16, 'Bleu_2': 2.2360679769966743e-16, 'Bleu_3': 2.5543647739782093e-16, 'Bleu_4': 3.02137539638741e-16, 'METEOR': 0.0, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.0423062, 'EmbeddingAverageCosineSimilarity': 0.016879, 'EmbeddingAverageCosineSimilairty': 0.016879, 'VectorExtremaCosineSimilarity': -0.003828, 'GreedyMatchingScore': 0.024097}"
101,eval_input_outputs_human.csv,,are you ready to go shopping ? <eot> not yet . i'm not finished with my research yet .,When would you be free then?,0.833333333,,"{'Bleu_1': 1.666666666388889e-16, 'Bleu_2': 1.8257418580158344e-16, 'Bleu_3': 2.027400664774394e-16, 'Bleu_4': 2.295748846116193e-16, 'METEOR': 0.0, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.039654244, 'EmbeddingAverageCosineSimilarity': -0.007711, 'EmbeddingAverageCosineSimilairty': -0.007711, 'VectorExtremaCosineSimilarity': -0.010951, 'GreedyMatchingScore': 0.006916}"
102,eval_input_outputs_human.csv,,"good morning . vane theater , at your service . <eot> hello . i'm thinking about watching a chinese traditional opera with a foreign girl . what's on this weekend ? <eot> well , there will be charity performance on saturday night . and also , there will be a solo concert by an opera star on sunday night .",Great. How much is the cost for tickets?,1,,"{'Bleu_1': 1.2499999998437502e-16, 'Bleu_2': 1.3363062093831524e-16, 'Bleu_3': 1.43842395645363e-16, 'Bleu_4': 1.5619699682123511e-16, 'METEOR': 0.0, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.030237112, 'EmbeddingAverageCosineSimilarity': -0.009312, 'EmbeddingAverageCosineSimilairty': -0.009312, 'VectorExtremaCosineSimilarity': -0.018393, 'GreedyMatchingScore': 0.014965}"
103,eval_input_outputs_human.csv,,"it's a german company . this unit has auto-reverse , recording capability , and an am / fm radio band . it also has a built-in microphone . <eot> i suppose i don't want that one then . i don't like auto-reverse . it breaks too easily . <eot> really ? have you had an auto-reverse break before ? <eot> yes , twice now . i think it's too high-tech , and so it's the first part that breaks . <eot> hmm . you know , the problem might be dust . did you clean the unit often ?",I should have thought of that,0.5,,"{'Bleu_1': 1.666666666388889e-16, 'Bleu_2': 1.8257418580158344e-16, 'Bleu_3': 2.027400664774394e-16, 'Bleu_4': 2.295748846116193e-16, 'METEOR': 0.0, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.028257985, 'EmbeddingAverageCosineSimilarity': 0.010377, 'EmbeddingAverageCosineSimilairty': 0.010377, 'VectorExtremaCosineSimilarity': 0.035604, 'GreedyMatchingScore': 0.020221}"
104,eval_input_outputs_human.csv,,where does she live ? <eot> she lives in san francisco . <eot> how long has she lived there ? <eot> i think she's lived there for about 10 years . <eot> that's a long time . where did she live before that ?,Before that she lived in ventura. It's kind of a small not so great of area.,1,,"{'Bleu_1': 6.249999999609375e-17, 'Bleu_2': 6.454972243262145e-17, 'Bleu_3': 6.676572574796897e-17, 'Bleu_4': 6.917184227725562e-17, 'METEOR': 0.0, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.03826174, 'EmbeddingAverageCosineSimilarity': 0.018449, 'EmbeddingAverageCosineSimilairty': 0.018449, 'VectorExtremaCosineSimilarity': -0.009444, 'GreedyMatchingScore': 0.042422}"
105,eval_input_outputs_human.csv,,"you'll never guess what i won at work today ! - tickets to tonight's final nba game . <eot> two , i hope and i hope that by telling me about them you are planning on taking me !",Of course.,1,,"{'Bleu_1': 4.999999997500001e-16, 'Bleu_2': 7.071067806562174e-16, 'Bleu_3': 7.937005255872507e-13, 'Bleu_4': 2.659147947475314e-11, 'METEOR': 0.0, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.010416795, 'EmbeddingAverageCosineSimilarity': 0.028567, 'EmbeddingAverageCosineSimilairty': 0.028567, 'VectorExtremaCosineSimilarity': 0.029661, 'GreedyMatchingScore': 0.029139}"
106,eval_input_outputs_human.csv,,"i have a cell phone in my car . now it's probably on the floor on the passenger side . why don't you get it for me , and then i can call the police ? <eot> alright . <eot> it doesn't work . it looks like it's broken . i need to get to a hospital . you should drive me there . <eot> oh , yeah ? it's better if we make a police report first . then you can go to the hospital . <eot> damn it ! i'm injured here . we could wait all day for the police .",That is true ; i best go ahead and drive you there.,0.666666667,,"{'Bleu_1': 8.33333333263889e-17, 'Bleu_2': 8.7038827970266e-17, 'Bleu_3': 9.11609179238116e-17, 'Bleu_4': 9.578464407697051e-17, 'METEOR': 0.0, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.022078041, 'EmbeddingAverageCosineSimilarity': 0.001832, 'EmbeddingAverageCosineSimilairty': 0.001832, 'VectorExtremaCosineSimilarity': -0.018111, 'GreedyMatchingScore': 0.028898}"
107,eval_input_outputs_human.csv,,"hum , still a student ? <eot> yes , i'm student of grade 3 in the university majoring in economics . <eot> what subjects are you studying ? <eot> english , math , commercial and legal studies , and accountancy . <eot> have you had any working experience .",Yes. I have worked in my parent's store for several years.,0.833333333,,"{'Bleu_1': 9.090909090082646e-17, 'Bleu_2': 9.534625891545801e-17, 'Bleu_3': 1.0033557297469767e-16, 'Bleu_4': 1.0600313378380957e-16, 'METEOR': 0.0, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.048637316, 'EmbeddingAverageCosineSimilarity': 0.008616, 'EmbeddingAverageCosineSimilairty': 0.008616, 'VectorExtremaCosineSimilarity': -0.000632, 'GreedyMatchingScore': 0.039088}"
108,eval_input_outputs_human.csv,,i am really interested in buying this television . <eot> that's so great !,Does it connect to wifi and play netflix?,1,,"{'Bleu_1': 1.2499999998437502e-16, 'Bleu_2': 1.3363062093831524e-16, 'Bleu_3': 1.43842395645363e-16, 'Bleu_4': 1.5619699682123511e-16, 'METEOR': 0.0, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.05247232, 'EmbeddingAverageCosineSimilarity': -0.008933, 'EmbeddingAverageCosineSimilairty': -0.008933, 'VectorExtremaCosineSimilarity': -0.043004, 'GreedyMatchingScore': 0.027046}"
109,eval_input_outputs_human.csv,,i have a terrible toothache . <eot> which tooth is it ? <eot> this one here .,Ok i see it.,0.875,,"{'Bleu_1': 2.499999999375e-16, 'Bleu_2': 2.8867513451061596e-16, 'Bleu_3': 3.4668063705012784e-16, 'Bleu_4': 4.518010015696094e-16, 'METEOR': 0.0, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.025708964, 'EmbeddingAverageCosineSimilarity': 0.034496, 'EmbeddingAverageCosineSimilairty': 0.034496, 'VectorExtremaCosineSimilarity': -0.01383, 'GreedyMatchingScore': 0.051709}"
110,eval_input_outputs_human.csv,,"hi , there . look at these . i have collected some ads here . there is a special promotion for mother's day this weekend . <eot> oh , yes . mother's day is coming . do you plan to buy anything ?","Yes, i'm buying my mom some flowers.",0.625,,"{'Bleu_1': 1.428571428367347e-16, 'Bleu_2': 1.5430334993821163e-16, 'Bleu_3': 1.6823908654542381e-16, 'Bleu_4': 1.857505799560655e-16, 'METEOR': 0.0, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.07293837, 'EmbeddingAverageCosineSimilarity': 0.013753, 'EmbeddingAverageCosineSimilairty': 0.013753, 'VectorExtremaCosineSimilarity': -0.021652, 'GreedyMatchingScore': 0.061733}"
111,eval_input_outputs_human.csv,,"hello , is sue there ? <eot> who ?","I'm looking for sue, is this her number?",1,,"{'Bleu_1': 1.2499999998437502e-16, 'Bleu_2': 1.3363062093831524e-16, 'Bleu_3': 1.43842395645363e-16, 'Bleu_4': 1.5619699682123511e-16, 'METEOR': 0.0, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.09653644, 'EmbeddingAverageCosineSimilarity': 0.031998, 'EmbeddingAverageCosineSimilairty': 0.031998, 'VectorExtremaCosineSimilarity': -0.012748, 'GreedyMatchingScore': 0.067457}"
112,eval_input_outputs_human.csv,,what sort of job would you like to take ?,What type of jobs are currently available?,1,,"{'Bleu_1': 1.428571428367347e-16, 'Bleu_2': 1.5430334993821163e-16, 'Bleu_3': 1.6823908654542381e-16, 'Bleu_4': 1.857505799560655e-16, 'METEOR': 0.0, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.030732054, 'EmbeddingAverageCosineSimilarity': -0.025781, 'EmbeddingAverageCosineSimilairty': -0.025781, 'VectorExtremaCosineSimilarity': -0.023115, 'GreedyMatchingScore': 0.008847}"
113,eval_input_outputs_human.csv,,hi . what's your name ? <eot> my name is jung min . what's your name ?,I'm ted. How's it going?,1,,"{'Bleu_1': 1.9999999996000001e-16, 'Bleu_2': 2.2360679769966743e-16, 'Bleu_3': 2.5543647739782093e-16, 'Bleu_4': 3.02137539638741e-16, 'METEOR': 0.0, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.06749081, 'EmbeddingAverageCosineSimilarity': 0.027396, 'EmbeddingAverageCosineSimilairty': 0.027396, 'VectorExtremaCosineSimilarity': 0.032445, 'GreedyMatchingScore': 0.067988}"
114,eval_input_outputs_human.csv,,bob ! <eot> anne ! i haven't seen you for ages . how've you been ?,I've been great. Busy.,0.833333333,,"{'Bleu_1': 2.499999999375e-16, 'Bleu_2': 2.8867513451061596e-16, 'Bleu_3': 3.4668063705012784e-16, 'Bleu_4': 4.518010015696094e-16, 'METEOR': 0.0, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.035482846, 'EmbeddingAverageCosineSimilarity': -0.006267, 'EmbeddingAverageCosineSimilairty': -0.006267, 'VectorExtremaCosineSimilarity': -0.015287, 'GreedyMatchingScore': 0.016139}"
